epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,3111.49,0.88353,0.80348,1.16911,0.90051,0.77875,0.8511,0.68891,0.77504,0.76228,1.13241,0.00303665,0.00303665,0.00303665
97,3144.1,0.89076,0.82286,1.16654,0.34003,0.82536,0.348,0.30202,nan,nan,nan,0.00294239,0.00294239,0.00294239
98,3176.4,0.88309,0.78165,1.14734,0.83432,0.85766,0.89905,0.7216,0.75326,0.67196,1.08489,0.00284906,0.00284906,0.00284906
99,3209.59,0.87666,0.80675,1.14417,0.90435,0.81095,0.8906,0.71337,0.74121,0.74184,1.06056,0.00275668,0.00275668,0.00275668
100,3241.78,0.86342,0.80439,1.15418,0.83855,0.83746,0.87537,0.68542,0.79404,0.69606,1.1022,0.00266532,0.00266532,0.00266532
101,3275.12,0.89163,0.82241,1.17836,0.92776,0.8065,0.88748,0.72546,0.69484,0.62194,1.04655,0.002575,0.002575,0.002575
102,3307.76,0.83823,0.76958,1.12014,0.94653,0.84173,0.90376,0.7367,0.71779,0.63155,1.03443,0.00248577,0.00248577,0.00248577
103,3340.34,0.89151,0.81437,1.16525,0.91143,0.87337,0.90916,0.73307,0.72257,0.58411,1.03961,0.00239766,0.00239766,0.00239766
104,3372.65,0.84082,0.78154,1.13566,0.97707,0.81409,0.90958,0.75695,0.67043,0.58676,1.01376,0.00231071,0.00231071,0.00231071
105,3407.55,0.83557,0.77098,1.13191,0.89269,0.85915,0.91019,0.74046,0.67368,0.60024,1.02883,0.00222497,0.00222497,0.00222497
106,3440.13,0.86031,0.78397,1.15166,0.90113,0.82774,0.89812,0.72535,0.722,0.64508,1.04907,0.00214046,0.00214046,0.00214046
107,3473.83,0.82925,0.76071,1.13595,0.9411,0.81022,0.9028,0.74435,0.682,0.625,1.03309,0.00205723,0.00205723,0.00205723
108,3506.69,0.80193,0.72139,1.11283,0.92702,0.8144,0.9017,0.75262,0.66121,0.59253,1.02164,0.00197532,0.00197532,0.00197532
109,3539.85,0.81799,0.7436,1.12791,0.92418,0.87075,0.91484,0.75536,0.67276,0.54508,1.017,0.00189475,0.00189475,0.00189475
110,3571.77,0.80472,0.74167,1.12269,0.93456,0.84341,0.90599,0.74443,0.68699,0.59826,1.02717,0.00181557,0.00181557,0.00181557
111,3604.11,0.79846,0.73974,1.11106,0.95222,0.85253,0.91618,0.77423,0.66394,0.54951,1.01817,0.0017378,0.0017378,0.0017378
112,3637.17,0.78845,0.72037,1.10979,0.96051,0.80338,0.9008,0.74537,0.6731,0.62079,1.02085,0.00166149,0.00166149,0.00166149
113,3669.51,0.8176,0.72544,1.11148,0.95844,0.84055,0.91314,0.76029,0.64001,0.56883,0.99834,0.00158667,0.00158667,0.00158667
114,3701.34,0.77692,0.71675,1.10124,0.95184,0.86948,0.91571,0.77098,0.64434,0.52023,1.01731,0.00151336,0.00151336,0.00151336
115,3733.99,0.76198,0.6766,1.0885,0.95674,0.86222,0.91346,0.76512,0.64347,0.51199,1.02266,0.00144161,0.00144161,0.00144161
116,3767.65,0.78175,0.68782,1.11166,0.96262,0.86097,0.9069,0.75011,0.6554,0.58921,1.01128,0.00137143,0.00137143,0.00137143
117,3800.69,0.77438,0.70884,1.11792,0.93595,0.84843,0.91373,0.77105,0.62774,0.53098,0.99463,0.00130287,0.00130287,0.00130287
118,3833.12,0.76676,0.70303,1.10263,0.96279,0.8591,0.92045,0.77874,0.61845,0.51477,0.99716,0.00123596,0.00123596,0.00123596
119,3866.2,0.74057,0.67432,1.08182,0.96521,0.85174,0.9212,0.78542,0.60977,0.51633,0.983,0.00117072,0.00117072,0.00117072
120,3898.68,0.71345,0.65391,1.06218,0.95538,0.84958,0.91716,0.78573,0.59504,0.51769,0.97385,0.00110718,0.00110718,0.00110718
121,3931.79,0.74081,0.67112,1.0832,0.92989,0.85185,0.91227,0.77983,0.59328,0.54637,0.97093,0.00104537,0.00104537,0.00104537
122,3964.23,0.71508,0.64393,1.07922,0.94304,0.88048,0.92196,0.78752,0.61791,0.49907,0.98146,0.000985311,0.000985311,0.000985311
123,3996.56,0.70321,0.64527,1.06435,0.95931,0.87631,0.92489,0.78234,0.60186,0.48304,0.97413,0.00092704,0.00092704,0.00092704
124,4027.96,0.72399,0.66062,1.0671,0.96732,0.87792,0.92163,0.79219,0.57968,0.48412,0.9702,0.000870577,0.000870577,0.000870577
125,4060.87,0.68911,0.62023,1.0443,0.9239,0.87984,0.92502,0.7929,0.56849,0.49901,0.9602,0.000815947,0.000815947,0.000815947
126,4093.25,0.67808,0.62085,1.04905,0.94072,0.86617,0.92131,0.7916,0.59036,0.49128,0.97668,0.000763174,0.000763174,0.000763174
127,4126.28,0.72585,0.65282,1.07926,0.95734,0.85833,0.91646,0.77344,0.60863,0.54297,0.98929,0.000712282,0.000712282,0.000712282
128,4159.19,0.72776,0.64499,1.08292,0.95267,0.87006,0.9263,0.78656,0.58609,0.49042,0.97111,0.000663292,0.000663292,0.000663292
129,4192.51,0.69696,0.61421,1.06393,0.96081,0.88554,0.92609,0.79569,0.57313,0.4665,0.96334,0.000616227,0.000616227,0.000616227
130,4226.43,0.67881,0.59777,1.04625,0.94431,0.8823,0.92141,0.79132,0.55513,0.47942,0.95756,0.000571106,0.000571106,0.000571106
131,4259.5,0.66759,0.60036,1.03325,0.94274,0.89191,0.92729,0.79889,0.57615,0.47064,0.97068,0.00052795,0.00052795,0.00052795
132,4292.22,0.66188,0.58935,1.05425,0.95936,0.8902,0.92951,0.80618,0.56341,0.44539,0.95872,0.000486777,0.000486777,0.000486777
133,4325.06,0.66617,0.58793,1.03633,0.95455,0.87422,0.92542,0.80531,0.56869,0.47643,0.95854,0.000447606,0.000447606,0.000447606
134,4357.01,0.67019,0.58351,1.0437,0.92712,0.89722,0.92502,0.798,0.56795,0.46762,0.96374,0.000410454,0.000410454,0.000410454
135,4388.51,0.63995,0.56087,1.01625,0.95915,0.85721,0.91787,0.79283,0.57729,0.49918,0.97081,0.000375337,0.000375337,0.000375337
136,4420.95,0.66566,0.57687,1.04776,0.98555,0.86707,0.93107,0.80524,0.56149,0.45057,0.96253,0.00034227,0.00034227,0.00034227
137,4452.75,0.66203,0.59502,1.04847,0.95989,0.87597,0.92712,0.80803,0.55977,0.46117,0.96152,0.000311268,0.000311268,0.000311268
138,4485.3,0.65495,0.6012,1.03436,0.99097,0.86006,0.93454,0.81684,0.5458,0.4405,0.95094,0.000282345,0.000282345,0.000282345
139,4516.94,0.64988,0.55975,1.03517,0.92831,0.89067,0.93242,0.80371,0.55874,0.45963,0.96067,0.000255513,0.000255513,0.000255513
140,4548.26,0.66036,0.58648,1.04637,0.97336,0.85605,0.93384,0.80885,0.55862,0.45521,0.95827,0.000230784,0.000230784,0.000230784
141,4582.68,0.49728,0.46234,0.951,0.9901,0.86492,0.93353,0.81161,0.55387,0.45044,0.95708,0.000208169,0.000208169,0.000208169
142,4613.12,0.5042,0.44676,0.94647,0.96897,0.88129,0.93321,0.81818,0.54247,0.44927,0.95041,0.000187678,0.000187678,0.000187678
143,4643.56,0.48877,0.44387,0.9487,0.95386,0.8785,0.93287,0.81518,0.53927,0.44399,0.95063,0.00016932,0.00016932,0.00016932
144,4673.76,0.46583,0.41547,0.92601,0.95765,0.8799,0.93353,0.81369,0.54475,0.43599,0.95144,0.000153102,0.000153102,0.000153102
145,4704.01,0.47936,0.41148,0.93209,0.9638,0.88085,0.93533,0.81798,0.54206,0.43096,0.95212,0.000139032,0.000139032,0.000139032
146,4734.43,0.46622,0.40534,0.92499,0.96677,0.8709,0.93255,0.81854,0.54546,0.43522,0.95535,0.000127117,0.000127117,0.000127117
147,4764.8,0.46472,0.40461,0.93246,0.9804,0.88068,0.93397,0.81866,0.5476,0.43048,0.95533,0.00011736,0.00011736,0.00011736
148,4795.15,0.47104,0.41331,0.93251,0.98016,0.88022,0.93453,0.81764,0.54038,0.42627,0.94911,0.000109768,0.000109768,0.000109768
149,4825.87,0.45507,0.39379,0.92458,0.98419,0.86359,0.9332,0.81817,0.53983,0.42289,0.95149,0.000104342,0.000104342,0.000104342
150,4856.2,0.45951,0.39191,0.92171,0.9712,0.87619,0.93212,0.8175,0.53734,0.42059,0.94994,0.000101086,0.000101086,0.000101086
